kota,daya_1,daya_2,daya_3,daya_4,daya_5
Punjab,119.9,121.9,118.8,121,121.4
Haryana,130.3,133.5,128.2,127.5,132.6
Rajasthan,234.1,240.2,239.8,239.1,240.4
Delhi,85.8,85.5,83.5,79.2,76.6
Chandigarh,5,4.9,4.8,4.3,4.3
Gujarat,319.5,316.7,301.9,313.2,320.7
Maharashtra,428.6,419.6,395.8,411.1,408.6
Uttarakhand,40.7,39.3,38.1,39.2,39.2
Andhra Pradesh,164.6,170.1,165.2,167.4,171.2
Telangana,204.2,204.5,201.2,201.7,194.9
Karnataka,206.3,212.2,205.3,212.4,217.5
Kerala,72.7,73.6,73.4,75.4,75.4
Tamil Nadu,268.3,285.2,270.3,286.8,298.3
Jharkhand,24.8,25.6,26.3,23,22.6
West Bengal,108.2,110.2,106.8,107,106.4
Meghalaya,6.1,6.5,6.3,5.7,6.2
Nagaland,2.2,2.2,2.2,2.3,2.3
