compactness,surface-area,wall-area,roof-area,overall-height,orientation,glazing-area,glazing-dist,heating-load,cooling-load,heat-cat,cool-cat
0.98,514.5,294,110.25,7,2,0,0,15.55,21.33,15,21
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33,15,21
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,15,21
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,15,21
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28,20,28
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,21,25
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,20,25
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,19,29
0.86,588,294,147,7,2,0,0,19.5,27.3,19,27
0.86,588,294,147,7,3,0,0,19.95,21.97,19,21
0.86,588,294,147,7,4,0,0,19.34,23.49,19,23
0.86,588,294,147,7,5,0,0,18.31,27.87,18,27
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77,17,23
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,17,21
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,16,21
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,15,24
0.79,637,343,147,7,2,0,0,28.52,37.73,28,37
0.79,637,343,147,7,3,0,0,29.9,31.27,29,31
0.79,637,343,147,7,4,0,0,29.63,30.93,29,30
0.79,637,343,147,7,5,0,0,28.75,39.44,28,39
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,24,29
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68,23,29
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79,24,29
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4,23,29
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,6,10
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,6,11
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,6,10
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,6,11
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,6,11
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,6,11
0.71,710.5,269.5,220.5,3.5,4,0,0,6.366,11.29,6,11
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,6,11
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,6,11
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,6,12
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,6,11
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,6,11
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,7,12
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,7,12
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,7,12
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,7,12
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78,10,16
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8,10,16
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,10,16
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,10,16
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,8,12
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,8,12
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,8,12
