ID,label,tanggal,judul,narasi,nama file gambar
73720,1,31/07/2015,Ahok izinkan Natalan di Monas - tapi larang pengajian di Monas,"MARI KITA TOLAK. 25 desember acara pastur di monas. majlis dilarang di monas, tapi kenapa kegiatan natal di perbolehkan di monas? sedangkan gubernur jakarta beralasan monas tidak boleh dipakai acara masal dan ke agamaan tapi kenapa acara pastur diperbolehkan? apakah ini adil? MARI KITA DEMO TANGGAL 25 APRIL MENDATANG!!!!!!",73720.jpg
499700,2,08/09/2015,Jokowi dituduh memasukkan ribuan tenaga kerja asing ke Indonesia via sebuah proyek PLTU,Pak Jokowi itu menjadi walikota periode pertama di Solo kalau tidak salah mulai tahun 2005 s/d 2010.,499700.jpg
376817,1,12/09/2015,"Jokowi dituduh bodoh, salah cara dalam bersalaman dengan Raja Saudi.","hehe, selalu bisa tersenyum melihat tingkah laku pak Jokowi. terimakasih pak sudah menghibur kami ditengah meleahnya rupiah dinegeri ini",376817.jpg
8176,1,15/09/2015,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",8176.jpg
712690,1,15/09/2015,Foto Raja Salman Mengangkat Tandu Jenazah Korban Crane,"Raja Salman dari arab saudi membawa orang-orang yang sudah meninggal karena crane bermalam di makka dua hari yangh lalu, pada bahu ke tanah pemakaman.",712690.png
688112,1,18/09/2015,"Dituduh PKI Bangkit di Pamekasan, Jokowi Dicaci Maki","PAS KAMPANYE ada warning dugaan PKI bangkit di Era Jokowi. Kubu sebelah pun menyebut itu fitnah, hoax, ghibah, black campaign, dan sebagainya.",688112.jpg
475119,2,21/09/2015,Ahok Melarang Kurban,"Jadi Hok, mendingan lo tidur aje, ngga usah ngeluarin instuksi-instruksi segala apalagi mengeluarkan instruksi seperti Kementerian Kesehatan Arab Saudi menyatakan melarang menyembelih qurban unta selama musim haji karena khawatir bahaya yang ditimbulkan virus pernapasan mematikan (MERS-CoV) di Timur Tengah.",475119.jpg
180206,1,22/09/2015,Jokowi Hendak Minta Maaf kepada PKI/Keluarga PKI,Jokowi Mau Minta Maaf pada eks PKI. Apakah Ini Another TEST THE WATER???,180206.png
122854,0,30/09/2015,Bisnis Penjualan Fanpage,Bisnis Penjualan Fanpage,122854.jpg
139237,1,03/10/2015,: Munculnya Bara Api di Yaman,Munculnya Bara Api di Yaman,139237.jpg
557028,1,04/10/2015,: Bayi Nabila Meninggal Karena Kabut Asap di Jambi,"Cukup anak hamba ya Allah yg jadi korban akibat asap yang tidak kunjung berhenti, jgan lagi ada korban lain, sesak nafas, batuk, pilek akibat kabut asap dari orang-orang yang tidak bertanggung jawab,",557028.jpg
172003,0,05/10/2015,": Harun Yahya, Salah Satu Pionir Hoax Umat Islam","Harun Yahya, Salah Satu Pionir Hoax Umat Islam",172003.jpg
