id,terjemah,tjclean
[1.1],Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang,menyebut nama allah maha pemurah maha penyayang
[1.2],Segala puji bagi Allah Tuhan semesta alam,puji allah tuhan semesta alam
[1.3],Maha Pemurah lagi Maha Penyayang,maha pemurah maha penyayang
[1.4],Yang menguasai hari pembalasan.,menguasai pembalasan
[1.5],Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan,engkaulah menyembah engkaulah mohon pertolongan
[1.6],Tunjukilah kami jalan yang lurus,tunjukilah jalan lurus
[1.7],(yaitu) jalan orang-orang yang telah Engkau anugerahkan nikmat kepada mereka bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,jalan orangorang engkau anugerahkan nikmat jalan dimurkai jalan sesat
[2.1],Alif Laam Miim.,alif laam miim
[2.2],Kitab (Al Qur'an) ini tidak ada keraguan padanya petunjuk bagi mereka yang bertakwa,kitab al quran keraguan petunjuk bertakwa
[2.3],(yaitu) mereka yang beriman kepada yang gaib yang mendirikan shalat dan menafkahkan sebahagian rezki yang Kami anugerahkan kepada mereka,beriman gaib mendirikan shalat menafkahkan sebahagian rezki anugerahkan
[2.4],dan mereka yang beriman kepada Kitab (Al Qur'an) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu serta mereka yakin akan adanya (kehidupan) akhirat.,beriman kitab al quran diturunkan kepadamu kitabkitab diturunkan sebelummu kehidupan akhirat
[2.5],Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka dan merekalah orang-orang yang beruntung.,petunjuk tuhan orangorang beruntung
[2.6],Sesungguhnya orang-orang kafir sama saja bagi mereka kamu beri peringatan atau tidak kamu beri peringatan mereka tidak akan beriman.,sesungguhnya orangorang kafir peringatan peringatan beriman
[2.7],Allah telah mengunci-mati hati dan pendengaran mereka dan penglihatan mereka ditutup. Dan bagi mereka siksa yang amat berat.,allah menguncimati hati pendengaran penglihatan ditutup siksa berat
[2.8],Di antara manusia ada yang mengatakan: Kami beriman kepada Allah dan Hari kemudian padahal mereka itu sesungguhnya bukan orang-orang yang beriman.,manusia beriman allah sesungguhnya orangorang beriman
[2.9],Mereka hendak menipu Allah dan orang-orang yang beriman pada hal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.,menipu allah orangorang beriman menipu sadar
[2.10],Dalam hati mereka ada penyakit lalu ditambah Allah penyakitnya dan bagi mereka siksa yang pedih disebabkan mereka berdusta.,hati penyakit ditambah allah penyakitnya siksa pedih disebabkan berdusta
[2.11],Dan bila dikatakan kepada mereka: Janganlah kamu membuat kerusakan di muka bumi mereka menjawab: Sesungguhnya kami orang-orang yang mengadakan perbaikan.,kerusakan muka bumi sesungguhnya orangorang mengadakan perbaikan
[2.12],Ingatlah sesungguhnya mereka itulah orang-orang yang membuat kerusakan tetapi mereka tidak sadar.,ingatlah sesungguhnya orangorang kerusakan sadar
[2.13],Apabila dikatakan kepada mereka: Berimanlah kamu sebagaimana orang-orang lain telah beriman mereka menjawab: Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman? Ingatlah sesungguhnya merekalah orang-orang yang bodoh tetapi mereka tidak tahu.,berimanlah orangorang beriman berimankah orangorang bodoh beriman ingatlah sesungguhnya orangorang bodoh
[2.14],Dan bila mereka berjumpa dengan orang-orang yang beriman mereka mengatakan: Kami telah beriman. Dan bila mereka kembali kepada syaitan-setan mereka mereka mengatakan: Sesungguhnya kami sependirian dengan kamu kami hanyalah berolok-olok.,berjumpa orangorang beriman beriman syaitansetan sesungguhnya sependirian berolokolok
[2.15],Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,allah membalas olokolokan membiarkan terombangambing kesesatan
[2.16],Mereka itulah orang yang membeli kesesatan dengan petunjuk maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.,orang membeli kesesatan petunjuk beruntung perniagaan petunjuk
[2.17],Perumpamaan mereka adalah seperti orang yang menyalakan api maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat.,perumpamaan orang menyalakan api api menerangi sekelilingnya allah hilangkan cahaya menyinari membiarkan kegelapan
[2.18],Mereka tuli bisu dan buta maka tidaklah mereka akan kembali (ke jalan yang benar).,tuli bisu buta jalan
[2.19],atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,orangorang ditimpa hujan lebat langit disertai gelap gulita guruh kilat menyumbat telinganya anak jarinya mendengar suara petir takut mati allah meliputi orangorang kafir
[2.20],Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti. Jika Allah menghendaki niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,hampirhampir kilat menyambar penglihatan kali kilat menyinari berjalan sinar gelap menimpa berhenti allah niscaya melenyapkan pendengaran penglihatan sesungguhnya allah berkuasa
[2.21],Hai manusia sembahlah Tuhanmu Yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.,hai manusia sembahlah tuhanmu menciptakanmu orangorang sebelummu bertakwa
[2.22],Dialah Yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dia menurunkan air (hujan) dari langit lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah padahal kamu mengetahui.,menjadikan bumi hamparan bagimu langit atap menurunkan air hujan langit menghasilkan hujan buahbuahan rezeki untukmu mengadakan sekutusekutu allah
[2.23],Dan jika kamu (tetap) dalam keraguan tentang Al Qur'an yang Kami wahyukan kepada hamba Kami (Muhammad) buatlah satu surat (saja) yang semisal Al Qur'an itu dan ajaklah penolong-penolongmu selain Allah jika kamu orang-orang yang benar.,keraguan al quran wahyukan hamba muhammad buatlah surat al quran ajaklah penolongpenolongmu allah orangorang
[2.24],Maka jika kamu tidak dapat membuat (nya) dan pasti kamu tidak akan dapat membuat (nya) peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu yang disediakan bagi orang-orang kafir.,nya nya peliharalah dirimu neraka bahan bakarnya manusia batu disediakan orangorang kafir
