Time, Username, Tweet, Replies, Retweets, Likes, Language, urlStatus
29 Jun 2012,@FareastMuslimah,Ane bermaksud Kultwit URGENSI MEWUJUDKAN KESADARAN GEO-POLITIK ISLAM>> http://geostrategicpassion.blogspot.com/2012/06/urgensi-mewujudkan-kesadaran-geo.html … minta perkenan ust @felixsiauw utk me-retweet :),0,4,1,Indonesian,https://twitter.com/FareastMuslimah/status/218855596722634752
29 Jun 2012,@felixsiauw,"9. Allah, milik-Mu kekuatan hakiki, berilah kami barang sedikit dengan izin-Mu, untuk berani mendakwahkan Islam dan melawan hawa nafsu",2,40,5,Indonesian,https://twitter.com/felixsiauw/status/218854629281234945
29 Jun 2012,@BurhanMuhtadi,"""@BudiSetyarso: Membaca Quran menyehatkan jiwa. Mengkorup pencetakannya memenuhi isi penjara.."" => Dan neraka jahanam tempatnya :)",1,4,0,Indonesian,https://twitter.com/BurhanMuhtadi/status/218854587237535745
29 Jun 2012,@felixsiauw,"6. semoga kita selalu melawan hawa nafsu, dan mengambil yang Allah berikan | cenderung pada hukum yang Allah turunkan, syariat Islam",0,32,4,Indonesian,https://twitter.com/felixsiauw/status/218853615346003968
29 Jun 2012,@abby_abadi112,"Akhir zaman Sahabat2ku, smua yg blaku skrg dah tertulis dlm hadis. 'Bermuhasabah Diri'lah Sahabat2ku. Sy Sayang kamu semua. Lillah ",6,9,3,Indonesian,https://twitter.com/abby_abadi112/status/218852415913463810
29 Jun 2012,@PenerbitMizan,"Kunjungan ke Indonesia penulis buku ""Seruan Azan Dari Puing WTC: Dakwah Islam di Jantung Amerika Pasca 9/11"" http://bit.ly/OCqjYO ",0,2,1,Indonesian,https://twitter.com/PenerbitMizan/status/218851746867445761
29 Jun 2012,@VIVAcoid,"Legislator ZD,dari Dana Haji ke Korupsi Quran http://goo.gl/4u1PX ",2,6,0,Indonesian,https://twitter.com/VIVAcoid/status/218851370508361728
29 Jun 2012,@dheamanda,Allah menakdirkan dan Allah melakukan apa yang Dia kehendaki - Al- Hadist,0,1,1,Indonesian,https://twitter.com/dheamanda/status/218849534606974976
29 Jun 2012,@anamoelya,"""Zulkarnaen Djabar, politisi Golkar, diduga korupsi dalam proyek pengadaan kitab suci Al Quran di Kementerian Agama"" my Lord :O",0,2,0,Indonesian,https://twitter.com/anamoelya/status/218849282890018817
29 Jun 2012,@milzain,"BUKA Facebook dapat kawan baru, BUKA Twitter dapat Followers baru, BUKA Al-Quran dapat hidayah baru :')  berkat nanti amin :)",1,12,3,Indonesian,https://twitter.com/milzain/status/218841609507319808
29 Jun 2012,@IqbalSheikhAli,"Seandainya anda sedang marah, ambillah wuduk, solat sunat dan bacalah Quran kerana ianya memberikan ketenangan.",0,4,1,Indonesian,https://twitter.com/IqbalSheikhAli/status/218841147798335488
29 Jun 2012,@tempodotco,Korupsi Quran Libatkan Bapak dan Anak http://bit.ly/QCJZKE ,3,3,0,Indonesian,https://twitter.com/tempodotco/status/218840399983280128
29 Jun 2012,@tempodotco,"Kasus Korupsi Al-Quran, Ini Barang yang Disita KPK http://bit.ly/NZeJ97 ",0,3,0,Indonesian,https://twitter.com/tempodotco/status/218840396376178688
29 Jun 2012,@temponewsroom,"Nasional - Korupsi Quran, Kronologi 6 Jam Geledah Ruang DPR http://bit.ly/QCH193 ",0,2,0,Indonesian,https://twitter.com/temponewsroom/status/218839826424807425
29 Jun 2012,@korantempo,"Kasus Korupsi Al-Quran, Ini Barang yang Disita KPK: &quot;Yang saya tahu ada sebagian dokumen bahan rapat yang d... http://bit.ly/QCGrrO ",1,3,0,Indonesian,https://twitter.com/korantempo/status/218839523780599809
29 Jun 2012,@Ramadan_101,Quran study: The significance of Ayat al Kursi - by Gulrukh Tausif - Helium http://dld.bz/buDwE ,0,2,0,Indonesian,https://twitter.com/Ramadan_101/status/218838945176367104
29 Jun 2012,@muhdb4ni,Waalaikumsalam :D RT @nadnadzs: Assalamualaikum . Selamat Pagi Semua ! Selamat Menunaikan Solat Subuh Kepada Semua Umat Islam.. =),0,1,1,Indonesian,https://twitter.com/muhdb4ni/status/218821680129249280
29 Jun 2012,@bharianmy,Agama: Hikmah bersin kepada kesihatan  manusia menurut Islam http://fb.me/19lSVcbEM ,0,16,2,Indonesian,https://twitter.com/bharianmy/status/218819668268425218
29 Jun 2012,@eizwan,"Ok, its time to wrap u my day. Jumpa esok jam 2ptg dlm siri ceramah @drhasanali di MRSM Pasir Tumboh, KB. Demi Islam, Melayu & Raja2. Nite:)",0,0,1,Indonesian,https://twitter.com/eizwan/status/218778819497164801
29 Jun 2012,@PesanNabi,Di antara tanda kebaikan Islam seseorang adalah dia meninggalkan apa yg tidak berguna baginya(HR At-Tirmidzi) Yuk... http://fb.me/2eE6wT79i ,0,13,0,Indonesian,https://twitter.com/PesanNabi/status/218773179764711425
