Time, Username, Tweet, Replies, Retweets, Likes, Language, urlStatus
24 Sep 2017,@paultan,Mitsubishi Xpander rendered with Nissan X-Trail bits https://goo.gl/fb/fiSzNp ,0,1,1,,https://twitter.com/paultan/status/912203123376128000
23 Oct 2017,@MyBIZ5,New post (ALL NEW MITSUBISHI XPANDER VS HYUNDAI STAREX ROYALE 2018) has been published on Best Images ... - https://www.winterbluemusic.com/all-new-mitsubishi-xpander-vs-hyundai-starex-royale-2018/ …pic.twitter.com/6XVoFEh4QR,0,0,0,,https://twitter.com/MyBIZ5/status/922713812121333760
23 Oct 2017,@eko_wiwit,3 Paket Accessories Resmi Mitsubishi Xpander https://mitsubishiexpanderjember.wordpress.com/2017/10/24/3-paket-accessories-resmi-mitsubishi-xpander/ …pic.twitter.com/WUPJM5be5P,0,0,0,,https://twitter.com/eko_wiwit/status/922675754537832448
20 Oct 2017,@LMCAutomotive,New Mitsubishi Xpander triggers drop in August Indonesian LV sales as buyers wait for delivery of the new model: https://www.lmc-auto.com/wp-content/uploads/2017/10/LMCA-ASEAN-Light-Vehicle-Sales-Update-September-2017.pdf …,0,1,1,,https://twitter.com/LMCAutomotive/status/921349509019512832
22 Oct 2017,@MyBIZ5,New post (Review Mitsubishi xpander) has been published on Best Images Collections HD For Gadget windows Mac ... - https://www.winterbluemusic.com/review-mitsubishi-xpander/ …pic.twitter.com/H8BDfLPYMb,0,0,0,,https://twitter.com/MyBIZ5/status/922059555298775040
15 Oct 2017,@xanggaa,I liked a @YouTube video http://youtu.be/_KSyUFPxWwM?a  Mitsubishi Xpander 2017 Review Indonesia | OtoDriver | Supported by Solar Gard,0,0,1,,https://twitter.com/xanggaa/status/919776386776289280
23 Oct 2017,@m_riskimiranto,Review Mitsubishi Xpander Ultimate: http://youtu.be/c-7LdVuJIL8?a  via @YouTube,0,0,0,,https://twitter.com/m_riskimiranto/status/922625936851431424
22 Sep 2017,@paula_anindia,Real pict the inside interior of Mitsubishi Xpander Ultimate #Mitsubishi #Xpanderpic.twitter.com/HqfIAWP0Oe,0,0,2,,https://twitter.com/paula_anindia/status/911239311860711425
25 Oct 2017,@AUN_OFFICIAL,(2018 Mitsubishi Xpander MPV - Highlights and Features) has been published on All Personal Health - http://www.allpersonalhealth.com/2018-mitsubishi-xpander-mpv-highlights-and-features/ …pic.twitter.com/A9LJUwERfv,0,0,0,,https://twitter.com/AUN_OFFICIAL/status/923140184899751936
25 Oct 2017,@dailykurnia,I liked a @YouTube video http://youtu.be/qC0fcZ4Wyws?a  H2H MITSUBISHI XPANDER VS TOYOTA AVANZA VELOZ,0,0,0,,https://twitter.com/dailykurnia/status/923110630634151936
23 Oct 2017,@waroengkezia,"SALE 29% !!! Check out this item I found on Lazada! Mitsubishi Xpander Karpet Premium 3Pcs Universal BLack
http://www.lazada.co.id/mitsubishi-xpander-karpet-premium-3pcs-universal-black-47558619.html …",0,0,0,,https://twitter.com/waroengkezia/status/922480855443955712
22 Oct 2017,@oneeast_id,"Don't miss Customer Gathering, 29 October at 1 pm. Get Instant Rewards & FREE 3 Year Service Charge or Mitsubishi Xpander @katalogpromosipic.twitter.com/F8ayAvpiaQ",0,1,0,,https://twitter.com/oneeast_id/status/922319737169657856
22 Oct 2017,@Satoerawa,I added a video to a @YouTube playlist http://youtu.be/7VWPVpB2nE0?a  2017 Mitsubishi Xpander - Interior Exterior and Drive commercial,0,0,0,,https://twitter.com/Satoerawa/status/922160369518379013
22 Oct 2017,@RizkyAkbar_H,I liked a @YouTube video http://youtu.be/QtuLqiKDAs4?a  Mitsubishi Xpander Review & Test Drive by AutonetMagz,0,0,0,,https://twitter.com/RizkyAkbar_H/status/922116919188172801
20 Oct 2017,@carmagz_hd,"2018 Mitsubishi Xpander Price Review and Specs
#2018 #Mitsubishi #Xpander #2018Mitsubishi...http://youtu.be/w6EpVJwJYdU?a ",0,0,0,,https://twitter.com/carmagz_hd/status/921522553969152001
