Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
6/27/2018,@BachtiarLiem,Webindo.id,"Pilkada 2018, PDIP Menang di 6 Pilgub dan 91 Daerah",1.01208E+18,https://www.webindo.id/newsprovinsi/2018/06/27/pilkada-2018-pdip-menang-di-6-pilgub-dan-91-daerah/,,,0,0,WordPress.com,160,227,2,,11/5/2009,Jakarta,http://webindo.id Porta Bisnis Barometer #1 Pasar Indonesia,http://wp.me/1lGlz,,View
6/27/2018,@wikipediaberita,#BERITAPedia,"Ikuti Hasil Quick Count Pilkada Serentak 2018 di """" -",1.01208E+18,"http://Kompas.com
http://KOMPAS.com
http://dlvr.it/QYkpcT",https://pbs.twimg.com/media/Dgugn5wU0AAowQp.jpg,,0,0,dlvr.it,15509,1430,18,,7/9/2015,Indonesia,Jendela Informasi INDONESIA,,,View
6/27/2018,@kompaskampus,Kompas Kampus,Pilkada Jaring Partisipasi Pemilih,1.01208E+18,https://ift.tt/2tAvrGF,,,0,0,IFTTT,44076,173,210,,5/7/2010,Indonesia,Saatnya #cariinspirasi dengan #bacakompas setiap hari. | Rubrik Kompas Kampus terbit setiap Jumat di halaman #KompasMuDA Harian Kompas,http://www.kompaskampus.com,,View
6/27/2018,@GidiyonDavid,Gidiyon David,Banyak yang lebih menangisi kekalahan Jerman di Piala Dunia Rusia 2018 dari pada Pilihan Pilkada 😂😂 #mantabJiwa,1.01208E+18,,,,0,0,Facebook,64,111,0,,7/6/2014,Blitar,BCSxPSS SFBxPSS WA 085-755-875-153,http://www.lmnd.or.id,,View
6/27/2018,@2019Ada_PilPres,Yisreal,Politik itu cair di Pilkada 2018 hingga PilPres 2019. Pernyataan POLITIK yg kurang terbuka/EFEK kegamangan hasil QC di TV. Cair itu bisa HASIL LELEHAN. Cair tapi MENDIDIH atau ada titik panas AKUT di balik pembekuan RASA. Saya ketawa DIKIT nonton @MataNajwa @fadlizon @NajwaShihab,1.01208E+18,,https://pbs.twimg.com/media/DgufmqQVMAEYxx7.jpg,,0,0,Twitter for Android,0,0,0,,5/30/2018,,"Kala bahasa khianati alam manusia.Kumpulan huruf dijauhi makna.Begitu pula sejarah menanti masa depan yg pengertian akan cinta.Ya,cinta makna kebencian.E-V-O-L.",,,View
6/27/2018,@myACEH,myACEH,"""Pilkada Aceh Selatan, Mirwan Menang Telak di TPS Tempatnya Mencoblos - Serambi Indonesia""",1.01208E+18,https://ift.tt/2tx9vMU,,,0,0,IFTTT,7358,474,18,,2/1/2010,Aceh,Feeder Iklan dan Informasi umum seputar #Aceh #Acheh #Atjeh | Welcome to Aceh!,http://myaceh.com/,,View
6/27/2018,@reonkpost,ReOnkPost,"TPS "" Horor"" di PilGub Jawa Tengah 2018: ReOnkPost, Warga di sekitar TPS 07, Kelurahan Randusari, Semarang, menyambut Pilkada Jawa Tengah tahun 2018 dengan lebih antusias. Sejak malam sebelum pencoblosan, mereka mendekorasi Tempat Pemungutan…  - ReOnkPost",1.01208E+18,http://dlvr.it/QYkmss,https://pbs.twimg.com/media/DguexjRUwAA09Fn.jpg,,0,0,dlvr.it,34,24,0,,11/9/2015,Indonesia,Media Jurnalisme Warga,http://www.reonkpost.com,,View
6/27/2018,@tps_rio,Rio.T.P.S,Kepada paslon yang gagal di Pilkada 2018 santai saja karena diluar sana masih banyak uang setan toh,1.01208E+18,,,,0,0,Twitter Lite,11,57,0,,10/2/2016,DKI,,,,View
6/27/2018,@Tawon_Wonosobo,wonosobo1menit,Pukul 01.30 WIB tgl 28/06/2018 Entri data pemilih Pilkada 2018 KPUD Kab. Wonosobo ditutup dengan prosentasi 99.88%. tercatat paslon nomor 1= 53.30% pasalon nomor 2= 46.70% Partisipan pemilih yang menggunakan hak pilih 71.34% @kpu_wonosobo @diskominfo_wsb #wonosobo1menit,1.01208E+18,,https://pbs.twimg.com/media/DgueV4tVAAA7QTl.jpg,,0,0,Twitter for Android,109,151,0,,9/26/2016,,,,,View
6/27/2018,@Ilhamqadir,Ilham Kadir Palimai,"Alhamdulillah, temanku menang, Selamat buat Kak Amran! Quick Count JSI, Pammase Unggul di Pilkada Wajo",1.01208E+18,http://makassar.tribunnews.com.com/2018/06/27/quick-count-jsi-pammase-unggul-di-pilkada-wajo,,,0,0,Twitter for iPhone,375,2009,1,,2/14/2011,Jakarta,Doktor Pascasarjana UIKA Bogor 2017; Peneliti MIUMI Pusat; Pimpinan Baznas Kab. Enrekang; Aktif menulis buku dan opini.,http://ilhamkadir.com,,View
