Source,Target,Time
1006149822577905666,3177957847,2018-09-28 05:56:53
1004412838838824960,119691957,2018-09-28 05:56:48
707479660662099968,915978710142001152,2018-09-28 05:56:44
783891327255654401,805629166095769600,2018-09-28 05:56:41
811921004909867008,119691957,2018-09-28 05:56:41
22305722,435004096,2018-09-28 05:56:37
60476979,746241503714934784,2018-09-28 05:56:33
144242526,2519832906,2018-09-28 05:56:28
901792094133534720,3177957847,2018-09-28 05:56:20
3679918993,813490681519828997,2018-09-28 05:56:18
3679918993,366987179,2018-09-28 05:56:18
3679918993,40580714,2018-09-28 05:56:18
890022455372201984,915978710142001152,2018-09-28 05:56:16
1028160980063141888,705494211538194432,2018-09-28 05:56:05
1006212745929191425,915978710142001152,2018-09-28 05:56:03
1027520699353640960,973762756477272064,2018-09-28 05:55:52
1027520699353640960,366987179,2018-09-28 05:55:52
1028462022076157952,915978710142001152,2018-09-28 05:55:51
763655137155960832,2519832906,2018-09-28 05:55:47
770273894158610432,397673651,2018-09-28 05:55:40
770273894158610432,40580714,2018-09-28 05:55:40
1038731589138563072,915978710142001152,2018-09-28 05:55:40
2994446521,765212633368662016,2018-09-28 05:55:39
371517676,791235291193352192,2018-09-28 05:55:38
925542880097087488,915978710142001152,2018-09-28 05:55:35
1037611499332628480,915978710142001152,2018-09-28 05:55:34
1037611499332628480,438832278,2018-09-28 05:55:34
998441168126984192,194083131,2018-09-28 05:55:34
4668459614,805629166095769600,2018-09-28 05:55:32
2311901628,915978710142001152,2018-09-28 05:55:32
893436649463357442,915978710142001152,2018-09-28 05:55:25
111741979,2519832906,2018-09-28 05:55:21
281513740,366987179,2018-09-28 05:55:19
866910639112966144,3177957847,2018-09-28 05:55:17
2668957628,705494211538194432,2018-09-28 05:55:17
2536575349,3177957847,2018-09-28 05:55:12
983560690702073856,915978710142001152,2018-09-28 05:55:06
323118342,1034580428160524288,2018-09-28 05:55:05
988906425937113088,915978710142001152,2018-09-28 05:55:03
904703700517584896,965885713223892993,2018-09-28 05:54:50
904703700517584896,965885713223892993,2018-09-28 05:54:50
1035530189281718272,2519832906,2018-09-28 05:54:40
611568035,1034580428160524288,2018-09-28 05:54:30
1043759101581250560,915978710142001152,2018-09-28 05:54:26
583313960,876187567065976832,2018-09-28 05:54:21
1021797781420179457,915978710142001152,2018-09-28 05:54:10
1021797781420179457,438832278,2018-09-28 05:54:10
605325012,915978710142001152,2018-09-28 05:54:08
2632002080,3177957847,2018-09-28 05:54:02
803880299201327104,2519832906,2018-09-28 05:54:01
2739012954,435004096,2018-09-28 05:53:43
1362101828,705494211538194432,2018-09-28 05:53:42
4518992716,805629166095769600,2018-09-28 05:53:37
1593730381,69183155,2018-09-28 05:53:31
1593730381,366987179,2018-09-28 05:53:31
1593730381,40580714,2018-09-28 05:53:31
1593730381,132041617,2018-09-28 05:53:31
1034865421130690560,915978710142001152,2018-09-28 05:53:28
1029055805444644864,3177957847,2018-09-28 05:53:20
1006149822577905666,805629166095769600,2018-09-28 05:53:11
930136234017427457,746241503714934784,2018-09-28 05:53:05
2327106882,438832278,2018-09-28 05:53:02
235855847,805629166095769600,2018-09-28 05:53:01
41090734,2519832906,2018-09-28 05:52:59
2384079912,40580714,2018-09-28 05:52:58
2384079912,366987179,2018-09-28 05:52:58
831052104,915978710142001152,2018-09-28 05:52:55
2674695498,805629166095769600,2018-09-28 05:52:52
170989565,45602536,2018-09-28 05:52:43
280981318,2519832906,2018-09-28 05:52:40
1120926882,1006359377748451328,2018-09-28 05:52:35
1120926882,132041617,2018-09-28 05:52:35
1120926882,40580714,2018-09-28 05:52:35
1120926882,104714478,2018-09-28 05:52:35
1120926882,1117043762,2018-09-28 05:52:35
1120926882,986263636179017728,2018-09-28 05:52:35
714275252,2519832906,2018-09-28 05:52:35
133686716,3177957847,2018-09-28 05:52:35
999242907163885568,915978710142001152,2018-09-28 05:52:24
3314304906,805629166095769600,2018-09-28 05:52:18
