Id,Label,Followers,Lang
1006149822577905666,Joe26469069,19,id
3177957847,helmifelis,NA,NA
1004412838838824960,Sahabatkecilmu,1214,id
119691957,aewin86,NA,NA
707479660662099968,mohmust5,53,id
915978710142001152,PollingLagi,NA,NA
783891327255654401,sfi4ns,1324,en
805629166095769600,IreneViena,NA,NA
811921004909867008,makLambeTurah,54019,en
22305722,Niall_Ward,1646,en
435004096,Aryprasetyo85,NA,NA
60476979,christo_gerry,52,en
746241503714934784,RizmaWidiono,NA,NA
144242526,S4K4_P4LW46UN4,395,id
2519832906,MbahUyok,NA,NA
901792094133534720,Anggara45285173,1209,id
3679918993,SG_MNL,138,id
813490681519828997,permadiaktivis,NA,NA
366987179,jokowi,NA,NA
40580714,prabowo,NA,NA
890022455372201984,Greckgo,374,id
1028160980063141888,WijiyantoRidwan,36,en
705494211538194432,JhonKosmik_,NA,NA
1006212745929191425,AlHijaz46792964,96,id
1027520699353640960,Ferry13602224,91,id
973762756477272064,SatpamSosmed,NA,NA
1028462022076157952,AlizamWahab,84,en
763655137155960832,hanifalkeren,99,id
770273894158610432,SyaifulNasti,4,id
397673651,Gerindra,NA,NA
1038731589138563072,RahmadPen,2,id
2994446521,PareParesek,163,id
765212633368662016,Muslim_Bersatu1,NA,NA
371517676,yulied,186,en
791235291193352192,PutraErlangga__,NA,NA
925542880097087488,Yan230904,14,id
1037611499332628480,Fadhil53687642,4,id
438832278,AntoniRaja,NA,NA
998441168126984192,Santoso_Saja1,743,id
194083131,DennyJA_WORLD,NA,NA
4668459614,akmal_muin,363,id
2311901628,BinNuh_,9737,id
893436649463357442,ImamAnshori14,10,id
111741979,yusufhasmi74,103,id
281513740,GaUsahMunafik,551,id
866910639112966144,arsetagungp,161,id
2668957628,SSutrianto,226,id
2536575349,lanunatuna,2475,en
983560690702073856,the_janur,615,id
323118342,hadi262,281,id
1034580428160524288,MadihBang,NA,NA
988906425937113088,Arinimarini3,1934,id
904703700517584896,zaenaltea3,1057,id
965885713223892993,AkunTofa,NA,NA
1035530189281718272,AmarSyariful,402,en
611568035,2019harapanbaru,74,id
1043759101581250560,SumadiArdiansy2,5,id
583313960,muh_nur_samawa,235,id
876187567065976832,azumi_tsuyoshie,NA,NA
1021797781420179457,DadangJuarsa1,28,id
605325012,yopiehari99,86,id
2632002080,Deddyskalli,457,id
803880299201327104,syulillah,1323,en
2739012954,mazz_alip,239,en
1362101828,joe_Amstroeng,720,en
4518992716,IbnuSholh,356,id
1593730381,tomsi46,4,en
69183155,detikcom,NA,NA
132041617,sandiuno,NA,NA
1034865421130690560,DavidGilaaa,1,id
1029055805444644864,GantiPresiden14,290,en
930136234017427457,sonny_ichsan,107,id
2327106882,batis_com,139,id
235855847,hadimustakim,114,en
41090734,fk_firman,285,id
2384079912,NdaruTejowati,5138,id
831052104,YTasdik,144,id
2674695498,Deweeanjany,817,id
170989565,singgihk8,329,en
45602536,GunRomli,NA,NA
280981318,umam_chaerul,2445,id
1120926882,cp_bapathy,143,id
1006359377748451328,Goes63458011,NA,NA
104714478,KPK_RI,NA,NA
1117043762,kitapilihjokowi,NA,NA
986263636179017728,ChristWamea,NA,NA
714275252,jajakakikuk,588,id
133686716,HadiHalimS,364,en
999242907163885568,fitra_zain,3,en
3314304906,CebongParno,11521,en
824432287378870272,Mastoeky1,315,id
528541225,abi_ranto,349,id
860575293156737025,GueIslam212aja,570,id
900574871377199104,jokoedy6,NA,NA
630746986,Neea_de,109,id
82316754,UtuhWibowo,NA,NA
4888020279,hadi9hamzah,150,id
1511862386,hermana_t,401,en
946696994050883585,AriMugiono2,34,id
2519082643,apocalypsoblitz,171,en
912604966144978944,Baresi14091625,35,id
1005096250507579392,BMarsiamto,NA,NA
998745151408259072,Kim_3v0,NA,NA
885540895721783297,UjangSpn,NA,NA
324416283,RatnaSpaet,NA,NA
1014783118870380544,AjiBromokusumo,51,en
847267960439713795,SofyanBudi3,122,id
809475815574384640,KazalDuan,413,id
2885492048,RKhossaghi,294,en
728851720286003200,KartikaLangit,286,id
751699355719970816,mr_lazoeardi,26,id
927683102,Intel_FPI,NA,NA
14681792,Sandi,NA,NA
992221338575167489,adeindrajay,121,en
826474447733354496,otong_leyong,152,en
918133566378143744,kurniasari_okg,56,id
1022185072248610816,Cobeh09,NA,NA
1368721652,fiu_avenue,649,id
856792100997742592,AzpGr,142,id
4852766363,nugrohosudarso1,78,id
926628266202480640,SyafiraSasi,26,en
702353778335289345,CintaNag,NA,NA
1006771503956979712,LawanPoLitikJW,NA,NA
1010795940796497922,Randu_Kuning,231,id
920944037321773056,ZwahidAq,164,id
3013191098,eksus79,45,id
961241216598736896,mpu_gondrong77,523,id
2523611274,FDerKanzler,1463,id
807469432222007297,e_Dans_dst,NA,NA
1243195502,MomUty,155,id
864141367831797760,EhlerterYtrdza,2796,id
