,Dist_Taxi,Dist_Market,Dist_Hospital,Carpet,Builtup,Parking,City_Category,Rainfall,House_Price
0,9796.0,5250.0,10703.0,1659.0,1961.0,Open,CAT B,530,6649000
1,8294.0,8186.0,12694.0,1461.0,1752.0,Not Provided,CAT B,210,3982000
2,11001.0,14399.0,16991.0,1340.0,1609.0,Not Provided,CAT A,720,5401000
3,8301.0,11188.0,12289.0,1451.0,1748.0,Covered,CAT B,620,5373000
4,10510.0,12629.0,13921.0,1770.0,2111.0,Not Provided,CAT B,450,4662000
5,6665.0,5142.0,9972.0,1442.0,1733.0,Open,CAT B,760,4526000
6,13153.0,11869.0,17811.0,1542.0,1858.0,No Parking,CAT A,1030,7224000
7,5882.0,9948.0,13315.0,1261.0,1507.0,Open,CAT C,1020,3772000
8,7495.0,11589.0,13370.0,1090.0,1321.0,Not Provided,CAT B,680,4631000
9,8233.0,7067.0,11400.0,1030.0,1235.0,Open,CAT C,1130,4415000
10,4278.0,10646.0,8243.0,1187.0,1439.0,Covered,CAT A,1090,7128000
11,8066.0,11149.0,12936.0,1751.0,2098.0,No Parking,CAT B,720,5762000
12,7693.0,9130.0,14684.0,1746.0,2064.0,Open,CAT B,1050,6047000
13,5236.0,10853.0,13054.0,1615.0,1931.0,Covered,CAT B,1160,5913000
14,6027.0,6707.0,10176.0,1469.0,1756.0,Open,CAT B,770,6636000
15,9648.0,14789.0,12812.0,1644.0,1950.0,Covered,CAT A,790,7887000
16,11079.0,13102.0,13076.0,1578.0,1907.0,Open,CAT A,1440,7725000
17,6698.0,11519.0,13441.0,1703.0,2045.0,Covered,CAT B,670,3817000
18,9609.0,9066.0,13304.0,1438.0,1731.0,Open,CAT A,1030,6354000
20,8155.0,8085.0,9837.0,1940.0,2340.0,Covered,CAT C,980,4019000
21,9669.0,12385.0,13589.0,1421.0,1700.0,No Parking,CAT C,370,4346000
22,11613.0,11675.0,15476.0,1458.0,1746.0,Open,CAT A,690,6889000
23,10664.0,14161.0,15076.0,1719.0,2065.0,Covered,CAT B,950,5278000
24,7309.0,7468.0,11460.0,1449.0,1752.0,Not Provided,CAT B,620,5068000
25,7103.0,9832.0,10943.0,1234.0,1488.0,No Parking,CAT B,840,4188000
26,6615.0,8178.0,12804.0,1732.0,2073.0,Not Provided,CAT C,820,7005000
27,10870.0,12040.0,15221.0,1475.0,1777.0,Open,CAT C,1100,2582000
29,11735.0,10687.0,16954.0,1390.0,1648.0,No Parking,CAT B,980,6053000
30,13441.0,13852.0,17989.0,1642.0,1943.0,No Parking,CAT B,710,7810000
31,8876.0,13372.0,15845.0,1715.0,2071.0,Open,CAT B,650,8486000
32,4066.0,9318.0,10159.0,1439.0,1746.0,Open,CAT A,990,8014000
33,8248.0,8464.0,11292.0,1250.0,1508.0,Open,CAT C,990,1492000
34,9904.0,11866.0,14566.0,1331.0,1608.0,Open,CAT B,880,6046000
35,6526.0,7876.0,11215.0,1784.0,2163.0,Covered,CAT B,620,7456000
36,6166.0,9680.0,12079.0,1375.0,1648.0,Not Provided,CAT A,1020,7243000
37,5064.0,10573.0,9796.0,1871.0,2230.0,Covered,CAT B,700,4546000
38,6712.0,10341.0,15629.0,1442.0,1744.0,Not Provided,CAT C,610,4157000
39,8317.0,13286.0,12785.0,1174.0,1411.0,Covered,CAT A,1080,6287000
40,7796.0,17101.0,16192.0,1839.0,2204.0,No Parking,CAT B,1010,5517000
41,9171.0,8368.0,12566.0,1270.0,1516.0,Not Provided,CAT B,0,4548000
43,9357.0,11584.0,14219.0,1435.0,1725.0,Open,CAT C,1250,4955000
44,8101.0,11176.0,13502.0,965.0,1152.0,Not Provided,CAT C,600,4814000
45,8794.0,12199.0,14275.0,1665.0,2001.0,No Parking,CAT A,730,6764000
46,6017.0,14147.0,12642.0,1780.0,2117.0,Open,CAT C,780,3973000
47,11265.0,12999.0,14621.0,1009.0,1194.0,Not Provided,CAT C,520,3580000
48,6407.0,10134.0,13433.0,1227.0,1471.0,No Parking,CAT A,870,4927000
50,7193.0,10163.0,10715.0,1769.0,2087.0,No Parking,CAT B,690,6651000
51,9723.0,11620.0,13693.0,1660.0,1982.0,Open,CAT B,910,6253000
52,11363.0,14001.0,17453.0,1472.0,1776.0,Open,CAT B,1260,5998000
53,13157.0,11247.0,16385.0,1408.0,1688.0,Not Provided,CAT A,1040,7635000
54,11657.0,12184.0,16450.0,1514.0,1820.0,Covered,CAT B,910,8182000
55,10269.0,7505.0,13552.0,1565.0,1880.0,Covered,CAT B,1300,5783000
56,9480.0,15910.0,16887.0,1074.0,1288.0,Not Provided,CAT B,320,7045000
57,10451.0,11465.0,16488.0,1864.0,2240.0,No Parking,CAT B,530,6700000
58,7331.0,11247.0,10787.0,1570.0,1898.0,No Parking,CAT B,980,6409000
59,8458.0,13941.0,15721.0,1417.0,1701.0,Open,CAT B,740,4867000
60,9620.0,15033.0,14775.0,1734.0,2060.0,Not Provided,CAT B,1240,6621000
61,10566.0,10728.0,16951.0,1470.0,1763.0,Covered,CAT B,1080,8366000
62,5568.0,11538.0,14767.0,1761.0,2104.0,Not Provided,CAT A,1080,7077000
63,8210.0,9740.0,12485.0,1756.0,2070.0,Open,CAT C,460,5387000
64,4533.0,6617.0,10052.0,1704.0,2045.0,No Parking,CAT A,300,7130000
66,6239.0,7326.0,9085.0,2011.0,2391.0,Not Provided,CAT C,530,4610000
67,10504.0,9938.0,13747.0,1472.0,1748.0,Open,CAT B,600,4910000
68,12715.0,10229.0,15329.0,1310.0,1561.0,Not Provided,CAT B,860,6592000
69,9472.0,9686.0,13464.0,1544.0,1821.0,Covered,CAT B,590,5866000
70,4195.0,9050.0,7517.0,1707.0,2052.0,Open,CAT B,920,6913000
71,5858.0,8114.0,11026.0,1881.0,2262.0,No Parking,CAT C,570,4908000
72,9849.0,8773.0,15371.0,1416.0,1681.0,Not Provided,CAT A,290,7271000
73,7983.0,6338.0,11916.0,1631.0,1941.0,Open,CAT B,650,3343000
74,5174.0,9293.0,10704.0,1318.0,1576.0,Covered,CAT C,710,4243000
75,7629.0,8786.0,12052.0,1692.0,2019.0,Open,CAT B,850,5665000
76,8841.0,11909.0,11625.0,1152.0,1380.0,Not Provided,CAT B,530,3358000
77,9327.0,9867.0,14244.0,891.0,1073.0,Not Provided,CAT A,630,6737000
78,6637.0,10365.0,9537.0,1468.0,1749.0,Not Provided,CAT A,700,7178000
79,4589.0,12404.0,12558.0,1539.0,1833.0,Not Provided,CAT A,650,8484000
80,9604.0,13622.0,15501.0,1635.0,1956.0,Covered,CAT A,720,8207000
81,8868.0,12356.0,13209.0,1267.0,1520.0,Not Provided,CAT B,450,2677000
82,11676.0,14735.0,15825.0,1250.0,1475.0,Open,CAT B,1390,6556000
84,5909.0,10455.0,13125.0,1720.0,2044.0,Open,CAT B,960,3866000
85,9674.0,12676.0,14459.0,1462.0,1761.0,Not Provided,CAT A,600,6566000
86,4997.0,9411.0,11468.0,1431.0,1711.0,No Parking,CAT C,620,4070000
87,9371.0,12701.0,16615.0,1539.0,1858.0,Not Provided,CAT A,1020,8891000
88,14306.0,12591.0,18029.0,1441.0,1723.0,Open,CAT B,330,5786000
89,6591.0,14567.0,13985.0,1572.0,1884.0,No Parking,CAT C,1410,4267000
90,7566.0,9599.0,16454.0,1287.0,1525.0,Not Provided,CAT A,1200,9018000
91,8463.0,8825.0,7307.0,1468.0,1760.0,Not Provided,CAT C,280,5128000
92,1200.0,7579.0,7376.0,1931.0,2342.0,Covered,CAT A,940,9726000
93,6871.0,10557.0,12097.0,1252.0,1506.0,Open,CAT B,850,3965000
94,6956.0,9048.0,11991.0,1238.0,1468.0,Open,CAT C,960,4572000
96,2222.0,10106.0,8858.0,1479.0,1758.0,Covered,CAT C,420,4206000
97,6194.0,8473.0,11978.0,1590.0,1912.0,Open,CAT B,830,6535000
98,7025.0,10344.0,11682.0,2169.0,2617.0,Open,CAT B,600,6708000
99,9233.0,12290.0,14032.0,1838.0,2205.0,Covered,CAT B,400,5403000
100,7185.0,13170.0,13904.0,1385.0,1655.0,Open,CAT A,760,5636000
101,7021.0,12206.0,14664.0,1921.0,2305.0,Covered,CAT A,1470,7712000
102,7970.0,9719.0,9695.0,1975.0,2385.0,Not Provided,CAT B,500,5081000
103,10381.0,15076.0,16590.0,1853.0,2235.0,Not Provided,CAT B,1120,6096000
104,5725.0,16967.0,11221.0,1816.0,2171.0,Open,CAT A,1160,6118000
105,13866.0,13472.0,15427.0,1785.0,2147.0,Open,CAT C,820,6366000
106,6353.0,15169.0,13058.0,1579.0,1899.0,No Parking,CAT B,1140,4119000
107,7944.0,7275.0,10843.0,1096.0,1321.0,Open,CAT A,900,7842000
108,6445.0,9455.0,10950.0,1919.0,2294.0,Not Provided,CAT A,760,6558000
109,4446.0,9575.0,9133.0,1262.0,1500.0,Not Provided,CAT A,1170,8908000
110,5320.0,9845.0,9590.0,1374.0,1655.0,Covered,CAT A,1080,9417000
111,10103.0,11932.0,16948.0,1309.0,1587.0,Not Provided,CAT B,1000,5095000
112,11517.0,11278.0,14656.0,1207.0,1434.0,Not Provided,CAT A,690,6518000
113,7388.0,15701.0,14982.0,1692.0,2031.0,Open,CAT A,810,6931000
114,11475.0,14768.0,15998.0,1929.0,2311.0,Open,CAT B,630,7921000
115,10148.0,10679.0,11618.0,1573.0,1878.0,Not Provided,CAT C,650,2374000
116,6255.0,11047.0,10332.0,1415.0,1700.0,Covered,CAT B,920,3633000
117,7018.0,7981.0,13748.0,1162.0,1382.0,Open,CAT C,1260,5170000
118,9588.0,10711.0,13963.0,1485.0,1787.0,Open,CAT B,800,6295000
119,8276.0,11728.0,11932.0,1897.0,2248.0,Not Provided,CAT A,1330,5601000
120,7739.0,12930.0,12703.0,1607.0,1927.0,No Parking,CAT B,940,4508000
121,10106.0,13805.0,16769.0,1909.0,2287.0,Not Provided,CAT B,1210,4683000
122,8510.0,10891.0,13380.0,1274.0,1503.0,Open,CAT A,660,6475000
123,5553.0,13174.0,11586.0,1157.0,1379.0,Not Provided,CAT A,770,8078000
124,7522.0,11974.0,11433.0,1712.0,2046.0,Not Provided,CAT C,460,3118000
125,8702.0,13088.0,14238.0,1500.0,1798.0,No Parking,CAT C,860,5671000
126,6777.0,9885.0,11064.0,1682.0,2017.0,Open,CAT B,780,4939000
127,7944.0,14333.0,12801.0,1441.0,1727.0,Not Provided,CAT A,890,6600000
128,1637.0,7315.0,7685.0,1525.0,1835.0,Covered,CAT C,900,3277000
129,5237.0,9949.0,9116.0,1408.0,1669.0,Not Provided,CAT B,530,4658000
130,6567.0,14955.0,13427.0,1947.0,2333.0,Open,CAT A,790,7978000
131,7293.0,6919.0,11618.0,1164.0,1390.0,Not Provided,CAT C,370,3551000
132,4415.0,9440.0,10672.0,1787.0,2137.0,Covered,CAT A,610,8097000
133,6873.0,7786.0,9520.0,1871.0,2241.0,Open,CAT B,500,6115000
134,6139.0,9882.0,10482.0,1718.0,2051.0,Open,CAT B,750,4921000
135,10772.0,9004.0,13291.0,1365.0,1636.0,Not Provided,CAT A,980,7995000
136,4233.0,10090.0,11422.0,1368.0,1654.0,No Parking,CAT A,530,6874000
137,7238.0,13882.0,13825.0,1342.0,1595.0,Open,CAT B,910,5748000
138,7066.0,15366.0,15721.0,1076.0,1270.0,Open,CAT A,620,7263000
139,8353.0,12447.0,12931.0,1396.0,1672.0,No Parking,CAT B,1170,5007000
140,11621.0,14446.0,14609.0,1713.0,2071.0,Open,CAT B,900,4049000
141,10831.0,15438.0,16525.0,1370.0,1638.0,Open,CAT B,980,5185000
142,7650.0,5591.0,10198.0,1667.0,1993.0,No Parking,CAT C,740,4284000
143,8464.0,14185.0,15235.0,1638.0,1972.0,Not Provided,CAT B,810,6094000
144,6502.0,9917.0,10173.0,1581.0,1905.0,Open,CAT B,810,6228000
145,4945.0,10098.0,9241.0,1795.0,2187.0,Open,CAT A,300,7653000
146,5123.0,8950.0,8719.0,1179.0,1412.0,Covered,CAT A,790,8513000
147,7540.0,7861.0,10544.0,1978.0,2374.0,Open,CAT B,800,4859000
148,3529.0,13267.0,9687.0,1688.0,2042.0,No Parking,CAT A,760,7308000
149,7597.0,10595.0,9399.0,1214.0,1456.0,Not Provided,CAT B,530,4895000
150,4198.0,8105.0,7609.0,1504.0,1805.0,Open,CAT C,540,4856000
151,9257.0,12705.0,15491.0,1498.0,1770.0,Not Provided,CAT B,620,5938000
152,7611.0,8008.0,11018.0,1462.0,1762.0,Open,CAT C,1010,5119000
153,9334.0,12267.0,14658.0,1442.0,1750.0,Not Provided,CAT B,130,5892000
154,3761.0,8492.0,8590.0,1250.0,1486.0,Open,CAT B,730,5036000
155,7738.0,9475.0,14329.0,1229.0,1480.0,Open,CAT C,830,3807000
156,5964.0,10763.0,12082.0,1936.0,2300.0,Covered,CAT C,1060,4917000
157,7032.0,11598.0,12267.0,1369.0,1629.0,Open,CAT C,770,3974000
159,10868.0,12273.0,14157.0,1662.0,1986.0,Open,CAT B,70,6373000
