username,date,tweet,sentiment,lat,lon,location
kompastv_jabar,"Nov,28",I added a video to a @YouTube playlist youtu.be/VBTNLPU3984?a DEKLARASI JAWA BARAT BEBAS STUNTING PART 1,neg,-6.91746,107.619,Bandung Kota Bandung Jawa Barat Indonesia
mediaindonesia,"08,Nov,18",Jawa Barat Kejar 2023 Bebas Stunting mediaindonesia.com/read/detail/19â€¦ pic.twitter.com/aRMU6ZNH8r,neg,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
DinasKominfoKRW,"Dec,09","DEKLARASI KARAWANG BEBAS STUNTING

Karawang,- Bupati Karawang, dr. Hj. Cellica Nurrachadiana menghadiri acara deklarasi ""Karawang Bebas Stunting"" di aula Kecamatan Tempuran Karawang, Minggu (9/12/2018) dengan... facebook.com/Diskominfokrwkâ€¦",neg,-6.3054,107.32,Karawang East Karawang Karawang Regency West Java Indonesia
awanmalangit,"Jan,28","1000 HPK ini merupakan kesempatan emas dalam mencetak generasi berkualitas bebas stunting dan masalah gizi lainnya pada anak2.
@kopmasofficial
@pengaduankopmas
#revolusipangan2019
#akhirigiziburuk",neg,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
dinkesJKT,"Jan,25","Pemenuhan kebutuhan gizi masyarakat terutama pada periode 1.000 Hari Pertama Kelahiran (HPK) merupakan kesempatan emas dalam mencetak generasi berkualitas bebas stunting dan masalah gizi lainnya.

instagram.com/p/BtD5XQZgCkd/â€¦
#dinkesDKI
#dinkesDKIjakarta
#HariGiziNasional pic.twitter.com/OswOUSQ8ec",neg,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
Kemendag,"Jan,25","1.000 Hari Pertama Kelahiran (HPK) merupakan momen penting tumbuh  kembang manusia. Asupan gizi seimbang wajib Iberian bagi ibu hamil agar  janin berkembang sempurna, fisik dan kognitif serta mencetak generasi  emas bebas stunting dan masalah gizi lainnya. #HariGiziNasional pic.twitter.com/i9QPloskDj",neg,-6.18051,106.828,Jakarta Pusat Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta Indonesia
lampostco,"Feb,27",Lamteng Target Bebas StuntingÂ 2023 lampungpost.id/headline/lamteâ€¦ pic.twitter.com/rCGdCkorwd,neg,-4.55858,105.407,Lampung Indonesia
AnneLesmana,"Feb,14","Ya ampun klo diitung scr ekonomi, duit yg ilang segitu.. Duh rugi bgt ya.. Semoga segera bebas stunting ya negara qta tercinta ini. #fightingstunting #cegahstunting twitter.com/DewiSulistiawtâ€¦",neg,-7.64263,112.703,Kecamatan Pandaan Pasuruan Jawa Timur Indonesia
dewiratnaco,"Feb,14","Daerah yg paling terdampak program pemerintah dlm mengurangi kasus stunting adalah Langkat, Sumut. Di sana grafik penderita stunting turun drastis dari 2013 ke 2018. Semoga di daerah lainnya juga begitu, sampai rata semua daerah bebas stunting.

#fightingstunting #cegahstunting pic.twitter.com/wX3wxfRvAf",neg,-7.96662,112.633,Malang Kota Malang Jawa Timur Indonesia
MiripWowo,"Mar,24","Saya wajibkan pendukung saya #Pilih01BajuPutih supaya Indonesia bebas stunting
youtu.be/4le5z93IygU
@SiSablengg @P3nj3l4j4h @TheArieAir",neg,1.7368400000000002,98.7851,Sibolga Kota Sibolga Sumatera Utara Indonesia
drsyuk_InfoKes,"Mar,17","dari sisi bayi? penelitian dr Ariani Widodo SpA(K), hampir 1/4 anak 3-5 th punya laktosa intoleran.

apakah target global thn 2025 40% bebas stunting usia di bawah 5 th akan tercapai?

Indonesia negara kaya produk alam. perlu dipikirkan formula baru masalah nutrisi bayi. pic.twitter.com/Bf0OvPovfJ",neg,-7.96662,112.633,Malang Kota Malang Jawa Timur Indonesia
tintin_ajja,"Mar,17",Tujuan dari Apel Kebangsaan akan kehilangan makna pabila negara belum menjamin orang bebas stunting.,neg,-0.789275,113.921,Indonesia
Dwie_Retnowati,"Apr,14","Stunting adalah kondisi kurang gizi, sehingga anak pendek & memiliki keterlambatan berfikir.
Untuk pencegahan, berikan anak makanan bergizi& berikan susu #SGMEksplor 2 gelas/hari untuk mendukung tumbuh kembangnya menjadi #GenerasiMaju yang bebas stunting. 
#MombassadorSGMEksplor pic.twitter.com/qSrpAAKklb",neg,-0.789275,113.921,Indonesia
yourloyalsinner,"Apr,10","serumah yha minum ubat cacing dari anak-ibuk-ayah. 

demi indonesia bebas stunting (buat anaknya).",neg,0.0,0.0,
P3mdSambas,"Jul,26","Rembuk Stunting di Kec Tebas Kab Sambas 
Untuk generasi masa depan yang bebas  Stunting #stunting ???? youtu.be/BE1lkbQAfEU
@EkoSandjojo
@taufikmadjid71
@anwsanusi
@fachrilabalado
@KPPKalbar",neg,-0.278781,111.475,Kalimantan Barat Indonesia
EChatabell,"Jul,24","Gak sesimpel itu mikir anak g mau makan nasi yaudahlah yg penting mau makan yg lain, stress berat akutuu. Indonesia bebas stunting sayyy",neg,5.54829,95.3238,Banda Aceh Kota Banda Aceh Aceh Indonesia
