id,created_at,text
665106651439980546,2015-11-13 09:59:17,b'RT @dweekly: https://t.co/3tKhtuxxr8'
603755837782269953,2015-05-28 02:53:03,b'@buster excellent choice ;) stay tuned'
603754115848478721,2015-05-28 02:46:13,"b""@buster cool. I'll post a response on medium as soon as I complete my report. btw do u take your psychoanalysis with emoticons or without?"""
603749531834978306,2015-05-28 02:28:00,"b""@buster wow, ok. And that's like a phrase that people know? Man I could psychoanalyze the fuck out of this. Only w/ ur permission of course"""
603747400423874560,2015-05-28 02:19:32,"b'@buster ""did you stop beating your wife?"" Uh, is that like a live demo of ""the element of irreducible rascality""? or am I missing something?'"
601912407288512512,2015-05-23 00:47:55,"b'""Nothing wins more loyalty for a leader than an air of bravura,"" the Duke said. ""I, therefore, cultivate an air of bravura.""'"
601871560899629059,2015-05-22 22:05:37,"b'Social grooming, 100,000 BC: scratch your friends\xe2\x80\x99 backs, remove insects and lice from their fur. \n\nSocial grooming, 2015 AD: &lt;Like&gt;'"
521835660097769473,2014-10-14 01:31:31,"b""@jasonpurdy good for you man! They're all pretty good, Peace is Every Step is one I remember. Also headspace app could be worth checking out"""
408945704552628224,2013-12-06 13:07:08,b'Make with love. http://t.co/rq07ynhpuT'
405961537757925376,2013-11-28 07:29:07,b'Just posted a photo http://t.co/YNlkomwhUd'
344599739452489730,2013-06-11 23:39:14,"b'RT @SandersAK: Remember fellow customers, while their service has been down for 3+ hours, @ParseIt is having drinks and a party at #wwdc.'"
302259587439030272,2013-02-15 03:34:36,"b'RT @jogabo: Is this the future of the beautiful game? Be inspired to play, the future is now #jogabo http://t.co/gsyH8tgg'"
301534910722764800,2013-02-13 03:34:59,b'RT @_TFL_: No Sensei! #karatekid #miyagi #tweetsfromthepass #tfl #yourthebestaround http://t.co/d1BEgV9r'
286579377662210049,2013-01-02 21:07:02,"b'I just checked in to Meditate on @liftapp: ""20m breath awareness and emptiness of self"" http://t.co/3LyoA82n'"
268096616559411200,2012-11-12 21:03:09,"b'@mrdoob good idea, just posted something :)'"
268090665617993728,2012-11-12 20:39:30,"b""@mrdoob thanks! yup, that's the one I found, was hoping there were some other secret spots where all the Three.js devs hung out :)"""
268089478189576192,2012-11-12 20:34:47,"b""hey @mrdoob, I'm looking for a Three.js expert for consulting/hacking on http://t.co/QsqNaQiX. Know anyone?Are there any 3.js job boards?"""
138377016452988928,2011-11-20 22:03:46,"b""@VictorMathieux hehe. Yep, @goalmafia was my doing. Let's just say The Don experienced an awakening ;)"""
137738838570315776,2011-11-19 03:47:52,"b'@VictorMathieux thanks! I dig what Everest is doing, too. Great to have some more kindred spirits in this space.'"
125327841909932032,2011-10-15 21:51:00,b'@JoshConstine so true about G+. A product with huge potential crippled by clueless launch strategy'
98637757076877313,2011-08-03 06:14:08,"b'Being far from home is hard, but you know, / at least we are exiled together. / When you open your eyes to the world http://bit.ly/cgkuO5'"
89606417841008642,2011-07-09 08:06:49,"b'RT @dojolabs: ""At the heart of it, mastery is practice. Mastery is staying on the path."" - George Leonard'"
89203352872824832,2011-07-08 05:25:11,"b'RT @GenYCoach: One of the biggest, fattest, most audacious goals I\'ve heard: ""Reach my genetic potential."" ...I\'ll give it a whirl :)'"
86574601999626240,2011-06-30 23:19:28,"b""Dojo's first ever public demo! Highlights from our \xe2\x80\x9cDesigning a Healthy Startup\xe2\x80\x9d Event | 500 Startups http://t.co/n2M9aSo via @500startups"""
86293807368384514,2011-06-30 04:43:41,"b'Calling yourself a ""designer"" is so last year. ""Gestalt Engineer"": now we\'re talking. http://tgr.ph/m8Glvh'"
83711466854821888,2011-06-23 01:42:23,b'Great meeting of kindred spirits at the @habitdesign meetup in SF. Technology + positive psychology FTW!'
83632016070938626,2011-06-22 20:26:41,b'Cheb i Sabbah Needs Your Help http://t.co/xl4s8R1 via @chebiji'
69474431042457600,2011-05-14 18:49:29,"b'What to do with those ""pesky emotions""? http://j.mp/mrL5hA'"
45249424271740929,2011-03-08 22:27:58,"b""@dojofoundation Hi! I've got a question for the Dojo Foundation board. What's the best way to contact you guys?"""
43476086675349504,2011-03-04 01:01:21,b'@ninamehta thanks for the designer plug :)'
41642609025753089,2011-02-26 23:35:46,b'Why the next Buddha will be a collective http://bit.ly/hT2cQL'
41331001640615937,2011-02-26 02:57:33,"b'""If you can always find contentment wherever you are, you are probably a dog."" Jack Kornfield at #wisdom2conf'"
41325956480241664,2011-02-26 02:37:30,"b'""We\'re technological giants but ethical infants."" Jack Kornfield at #wisdom2conf'"
39107912274018304,2011-02-19 23:43:47,b'Take the time to stop and be the flowers. ~ Albert Hoffman (via @unfolding)'
39051332564422656,2011-02-19 19:58:57,b'What good shall I do this day? http://bit.ly/h5fOUN by @DustyReagan'
37615452469469184,2011-02-15 20:53:17,b'RT @MamboWalk: Trying to create a new health behavior? It takes about 3 months of doing something new to make it a habit! http://bit.ly/ ...'
37185597856550913,2011-02-14 16:25:12,"b'""We will ultimately become, both individually and as a civilization, the essence of our deepest intent."" Edgar Mitchell'"
36876572963254272,2011-02-13 19:57:14,"b'RT @skmurphy ""in general, great things are accomplished by small groups of people who are driven, who have unity of purpose."" Jamie Zawinski'"
34456431742681089,2011-02-07 03:40:28,"b'""Love is the willingness to create the space in which something is allowed to change."" Harry Palmer'"
