lat,lon,count
-6.87602,107.62,1
-7.79558,110.369,1
-6.87848,107.426,1
-6.12889,106.18,1
-6.20876,106.846,1
-6.40248,106.794,1
-6.20876,106.846,1
-2.97607,104.775,1
-6.91746,107.619,1
-8.65098,116.325,1
4.12484,96.493,1
-7.76316,110.365,1
-6.10729,106.953,1
-7.79558,110.369,1
-7.87538,110.426,1
-7.00515,110.438,1
-7.03837,112.914,1
-7.64655,111.043,1
-7.59435,111.905,1
-7.67093,109.661,1
-2.97607,104.775,1
-7.43178,110.688,1
5.42189,95.4463,1
-0.0263303,109.343,1
-6.20876,106.846,1
3.5952,98.6722,1
-6.23827,106.976,1
-6.59715,106.806,1
-6.20876,106.846,1
-7.47973,110.218,1
-6.69862,111.445,1
3.28821,99.3715,1
-6.20876,106.846,1
-7.00515,110.438,1
-6.345,106.757,1
-7.00515,110.438,1
-7.95727,112.623,1
-8.69462,116.278,1
-7.16524,112.652,1
-6.74496,111.046,1
-6.20876,106.846,1
-8.03791,112.894,1
3.54508,98.7096,1
-6.20876,106.846,1
-6.89465,110.637,1
-6.20876,106.846,1
-0.0263303,109.343,1
-7.57409,112.286,1
-6.59715,106.806,1
-6.17018,106.64,1
-6.91711,107.609,1
-6.73202,108.552,1
-6.73202,108.552,1
-5.14767,119.433,1
-6.33146,106.833,1
-6.20876,106.846,1
-7.79558,110.369,1
-3.31861,114.594,1
-7.79558,110.369,1
-6.20876,106.846,1
-6.37753,106.833,1
-7.75686,110.406,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.37497,106.832,1
-6.345,106.757,1
-6.37497,106.832,1
-6.59715,106.806,1
-5.14767,119.433,1
5.18116,97.1413,1
-6.40248,106.794,1
-6.20876,106.846,1
2.11535,99.5451,1
-6.20876,106.846,1
-6.20876,106.846,1
-6.91746,107.619,1
-6.20876,106.846,1
-6.94757,107.604,1
-6.345,106.757,1
-6.40248,106.794,1
-7.16524,112.652,1
-6.20876,106.846,1
-1.23793,116.853,1
-6.20876,106.846,1
-6.20876,106.846,1
-7.86508,111.47,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.36276,106.827,1
-6.40248,106.794,1
-6.40248,106.794,1
-6.91746,107.619,1
-6.23933,107.005,1
-7.33173,108.411,1
-6.40248,106.794,1
-6.28769,106.695,1
-6.23827,106.976,1
-6.73202,108.552,1
-6.73202,108.552,1
-6.20876,106.846,1
-6.20876,106.846,1
-1.23793,116.853,1
-6.345,106.757,1
-6.20876,106.846,1
-6.20876,106.846,1
-10.1772,123.607,1
-6.28961,106.84,1
-6.345,106.757,1
-6.20876,106.846,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.40248,106.794,1
-6.81682,107.143,1
-6.92497,107.689,1
-6.23827,106.976,1
-6.57687,106.76,1
-6.28961,106.84,1
-6.90681,107.614,1
-6.20876,106.846,1
-6.40248,106.794,1
-10.1772,123.607,1
1.66663,101.4,1
-6.20876,106.846,1
-4.55858,105.407,1
-7.57549,110.824,1
-6.2628,106.866,1
-6.345,106.757,1
-7.86508,111.47,1
-6.23827,106.976,1
-7.80265,110.396,1
-6.20876,106.846,1
-6.2628,106.866,1
-6.20876,106.846,1
-7.86508,111.47,1
-6.40248,106.794,1
-6.40248,106.794,1
-7.79558,110.369,1
-6.36276,106.827,1
-6.20876,106.846,1
-6.345,106.757,1
-6.59715,106.806,1
-6.59715,106.806,1
-6.20876,106.846,1
-7.57549,110.824,1
-7.25747,112.752,1
-6.40248,106.794,1
-6.20876,106.846,1
-6.345,106.757,1
-6.24758,106.806,1
-6.20876,106.846,1
-6.20876,106.846,1
-6.36219,106.85,1
-6.25909,106.792,1
-6.23827,106.976,1
-6.28769,106.695,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.88408,107.541,1
5.54829,95.3238,1
-6.345,106.757,1
-6.345,106.757,1
-7.41941,111.022,1
-6.20876,106.846,1
-6.28769,106.695,1
-6.28769,106.695,1
-6.345,106.757,1
-6.69198,107.394,1
-7.09091,107.669,1
-6.89366,107.611,1
-6.91746,107.619,1
-6.91746,107.619,1
-7.25747,112.752,1
-6.69198,107.394,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.20876,106.846,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.20876,106.846,1
0.538659,116.419,1
-6.40248,106.794,1
-6.40248,106.794,1
-6.345,106.757,1
-7.25747,112.752,1
-6.40248,106.794,1
-6.36951,106.827,1
-6.40248,106.794,1
-6.59715,106.806,1
-6.20876,106.846,1
-6.22501,106.9,1
-7.79558,110.369,1
-7.09091,107.669,1
-6.36276,106.827,1
