jumlah_ruangan,jumlah_penghuni,luas_bangunan,listrik
2,1,49.8,24
7,2,91.4,21.6
7,2,40.3,34.7
2,3,29.4,33.4
2,3,53.3,36.2
2,3,52.1,28.7
7,5,124.3,22.9
7,5,191.5,27.1
7,5,299.3,16.5
7,5,171,18.9
7,5,204.5,15
7,5,132.7,18.9
7,5,157.1,21.7
8,4,82.6,20.4
8,4,102.6,18.2
8,4,84.7,19.9
8,4,65.8,23.1
8,4,146.7,17.5
8,4,116.9,20.2
8,4,112.8,18.2
8,4,210.2,13.6
8,4,138.3,19.6
8,4,187.2,15.2
8,4,198.8,14.5
8,4,163,15.6
8,4,165.1,13.9
8,4,148.1,16.6
8,4,172.8,14.8
8,4,128,18.4
8,4,119.8,21
8,4,226,12.7
8,4,130.4,14.5
8,4,277.1,13.2
8,4,183.5,13.1
8,4,203.4,13.5
5,5,96.8,18.9
5,5,114.1,20
5,5,87.7,21
5,5,101.3,24.7
2,3,43.2,30.8
2,3,19.8,34.9
6,3,48.4,26.6
6,3,58.1,25.3
6,3,74.4,24.7
6,3,95.5,21.2
6,3,102.1,19.3
6,3,141.5,20
6,3,188,16.6
6,3,308.1,14.4
6,3,162,19.4
5,4,134.5,19.7
5,4,94.3,20.5
5,4,52.8,25
5,4,84.3,23.4
4,3,148,18.9
1,5,48.1,35.4
1,5,39.5,31.6
5,8,68.6,23.3
5,8,92.2,19.6
5,8,131.5,18.7
5,8,144.4,16
5,8,67.3,22.2
5,8,95,25
1,3,80.5,33
3,4,46.7,23.5
3,4,102.4,19.4
6,4,81,22
6,4,130.9,17.4
6,4,87.9,20.9
10,4,67.2,24.2
10,4,98.8,21.7
10,4,55.2,22.8
10,4,75.4,23.4
12,5,67.8,24.1
12,5,89.4,21.4
12,5,119.7,20
12,5,102.7,20.8
12,5,123.4,21.2
12,5,91,20.3
4,4,52.9,28
4,4,72.2,23.9
4,4,67.2,24.8
4,4,75.1,22.9
4,3,96.2,23.9
4,3,65.3,26.6
4,3,128.6,22.5
4,3,84.4,22.2
3,2,55,23.6
3,2,57,28.7
3,2,88.1,22.6
3,2,82,22
15,4,81.6,22.9
15,4,62.1,25
15,4,105.9,20.6
2,2,66.5,28.4
2,2,113.4,21.4
2,2,42.1,38.7
2,2,35.7,43.8
2,2,61.9,33.2
8,5,94.2,27.5
8,5,76.7,26.5
8,5,106.3,18.6
8,5,134.4,19.3
8,5,123.3,20.1
8,5,164.7,19.5
8,5,186.6,19.5
8,5,140.9,20.4
8,5,122.7,19.8
8,5,155.5,19.4
8,5,130,21.7
10,6,101.6,22.8
10,6,162.1,18.8
10,6,170.9,18.7
10,6,104.5,18.5
10,6,157.6,18.3
10,6,120.4,21.2
10,6,103,19.2
10,6,153.7,20.4
10,6,136.1,19.3
25,2,143.7,22
25,2,142.7,20.3
25,2,179.3,20.5
25,2,254.1,17.3
25,2,175.8,18.8
25,2,148.1,21.4
25,2,272.6,15.7
21,4,171.9,16.2
21,4,153.9,18
21,4,183.4,14.3
21,4,126,19.2
21,4,122.6,19.6
21,4,111.2,23
21,4,150.3,18.4
21,4,173.1,15.6
21,4,169.6,18.1
21,4,169,17.4
21,4,145.9,17.1
21,4,213.2,13.3
21,4,184.6,17.8
21,4,241.6,14
21,4,344.1,14.4
19,5,268.2,13.4
19,5,264.2,15.6
19,5,292.9,11.8
19,5,278,13.8
19,5,166.5,15.6
19,5,295.3,14.6
19,5,283.2,17.8
19,5,214.5,15.4
19,5,141,21.5
19,5,132.8,19.6
19,5,121.2,15.3
19,5,157.9,19.4
19,5,151.2,17
19,5,150.2,15.6
19,5,161.4,13.1
19,5,45.9,41.3
19,5,64.3,24.3
19,5,73.9,23.3
19,5,55,27
19,5,17.3,50
19,5,19.2,50
19,5,33.2,50
19,5,116.4,22.7
19,5,98.1,25
19,5,37,50
19,5,121.4,23.8
19,5,111,23.8
19,5,113.2,22.3
19,5,144.3,17.4
19,5,120.3,19.1
4,5,146.9,23.1
4,5,90.4,23.6
4,5,96.4,22.6
4,5,53.3,29.4
4,5,101.1,23.2
4,5,62.9,24.6
4,5,69.2,29.9
2,3,50.4,37.2
2,3,75.6,39.8
2,3,94.5,36.2
2,3,48.2,37.9
2,3,56.8,32.5
2,3,139.8,26.4
2,3,131.5,29.6
2,3,44.5,50
3,5,66.8,32
3,5,45.6,29.8
3,5,53.9,34.9
3,5,51,37
3,5,46.9,30.5
3,5,28.7,36.4
2,1,50.3,31.1
2,1,43.8,29.1
1,2,40.8,33.3
1,2,86.1,30.3
1,2,66.2,34.6
1,3,45.6,34.9
1,3,44.5,32.9
2,2,74.3,24.1
2,2,31.1,42.3
2,4,38.1,48.5
2,4,28.8,50
10,4,108.7,22.6
10,4,109.7,24.4
10,4,180.6,22.5
10,4,146.6,24.4
10,4,230.9,20
