Dist_Taxi,Dist_Market,Dist_Hospital,Carpet,Builtup,Parking,City_Category,Rainfall,House_Price,total_jarak,harga_jual
8294.0,8186.0,12694.0,1461.0,1752.0,Not Provided,CAT B,210,3982000,29174.0,4232000
8301.0,11188.0,12289.0,1451.0,1748.0,Covered,CAT B,620,5373000,31778.0,5623000
10510.0,12629.0,13921.0,1770.0,2111.0,Not Provided,CAT B,450,4662000,37060.0,4912000
6665.0,5142.0,9972.0,1442.0,1733.0,Open,CAT B,760,4526000,21779.0,4776000
5882.0,9948.0,13315.0,1261.0,1507.0,Open,CAT C,1020,3772000,29145.0,4022000
7495.0,11589.0,13370.0,1090.0,1321.0,Not Provided,CAT B,680,4631000,32454.0,4881000
8233.0,7067.0,11400.0,1030.0,1235.0,Open,CAT C,1130,4415000,26700.0,4665000
8066.0,11149.0,12936.0,1751.0,2098.0,No Parking,CAT B,720,5762000,32151.0,6012000
7693.0,9130.0,14684.0,1746.0,2064.0,Open,CAT B,1050,6047000,31507.0,6297000
5236.0,10853.0,13054.0,1615.0,1931.0,Covered,CAT B,1160,5913000,29143.0,6163000
6698.0,11519.0,13441.0,1703.0,2045.0,Covered,CAT B,670,3817000,31658.0,4067000
9609.0,9066.0,13304.0,1438.0,1731.0,Open,CAT A,1030,6354000,31979.0,6604000
8155.0,8085.0,9837.0,1940.0,2340.0,Covered,CAT C,980,4019000,26077.0,4269000
9669.0,12385.0,13589.0,1421.0,1700.0,No Parking,CAT C,370,4346000,35643.0,4596000
10664.0,14161.0,15076.0,1719.0,2065.0,Covered,CAT B,950,5278000,39901.0,5528000
7309.0,7468.0,11460.0,1449.0,1752.0,Not Provided,CAT B,620,5068000,26237.0,5318000
7103.0,9832.0,10943.0,1234.0,1488.0,No Parking,CAT B,840,4188000,27878.0,4438000
10870.0,12040.0,15221.0,1475.0,1777.0,Open,CAT C,1100,2582000,38131.0,2832000
11735.0,10687.0,16954.0,1390.0,1648.0,No Parking,CAT B,980,6053000,39376.0,6303000
8248.0,8464.0,11292.0,1250.0,1508.0,Open,CAT C,990,1492000,28004.0,1742000
9904.0,11866.0,14566.0,1331.0,1608.0,Open,CAT B,880,6046000,36336.0,6296000
